CustomerID,Gender,Age,TenureMonths,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,HasOnlineSupport,HasPhoneService,HasExtraServices,Churn,ChurnFlag,ChurnProbability,RiskSegment
C0045,Female,63,13,Month-to-month,Direct debit,63.95,857.01,Yes,Yes,Yes,Yes,1,0.3596996481795328,Medium
C0046,Female,33,43,Two year,Bank transfer,30.57,1301.53,No,Yes,Yes,No,0,0.08133894589397589,Low
C0047,Female,31,43,Month-to-month,Bank transfer,84.08,3652.38,Yes,Yes,No,No,0,0.34842690758729544,Medium
C0048,Male,29,48,Two year,Direct debit,41.6,2027.57,Yes,Yes,Yes,No,0,0.07206062417471865,Low
C0049,Female,68,11,Two year,Direct debit,81.96,854.79,Yes,Yes,Yes,No,0,0.2293347954825332,Low
C0050,Female,40,51,Two year,Credit card,85.02,4390.32,Yes,Yes,No,Yes,1,0.16526450210828963,Low
C0051,Male,32,47,Two year,Bank transfer,35.2,1627.6,Yes,Yes,Yes,Yes,1,0.05899715981513739,Low
C0052,Female,45,57,Month-to-month,Credit card,26.13,1529.81,No,Yes,No,No,0,0.15650099120629168,Low
C0053,Male,51,23,One year,Direct debit,98.08,2274.2,Yes,Yes,Yes,No,0,0.15284253308991838,Low
C0054,Female,19,55,Month-to-month,Credit card,65.98,3720.81,Yes,Yes,No,No,0,0.24272143384401237,Low
C0055,Male,49,16,Month-to-month,Bank transfer,25.82,401.95,Yes,Yes,No,No,0,0.24311062325486654,Low
C0056,Female,40,31,Month-to-month,Credit card,119.49,3686.72,Yes,Yes,Yes,No,0,0.39828958279512616,Medium
C0057,Female,39,11,One year,Bank transfer,25.78,282.61,No,Yes,Yes,No,0,0.1078032574602939,Low
C0058,Male,68,54,Month-to-month,Direct debit,89.5,4817.84,Yes,Yes,Yes,Yes,1,0.25651734614048577,Low
C0059,Male,42,16,One year,Direct debit,118.37,1933.92,Yes,Yes,No,No,0,0.24327547219078108,Low
C0060,Male,39,8,Two year,Bank transfer,43.92,270.54,Yes,Yes,Yes,No,0,0.12327778190608701,Low
C0061,Male,39,4,One year,Direct debit,34.22,84.2,Yes,Yes,Yes,Yes,1,0.10904174350223386,Low
C0062,Male,66,40,One year,Direct debit,32.14,1232.21,No,Yes,Yes,Yes,1,0.06323404139518887,Low
C0063,Male,69,4,Two year,Direct debit,50.33,248.84,No,Yes,Yes,No,0,0.17183597767932832,Low
C0064,Male,59,56,Two year,Direct debit,30.1,1771.13,Yes,Yes,Yes,Yes,1,0.05547792059937753,Low
C0065,Male,23,25,One year,Bank transfer,89.22,2225.28,Yes,Yes,No,No,0,0.15312808884212434,Low
C0066,Female,32,3,Two year,Credit card,26.23,70.25,Yes,Yes,Yes,Yes,1,0.13546623339257136,Low
C0067,Female,60,32,Two year,Credit card,70.94,2273.58,Yes,Yes,Yes,No,0,0.1373306957930847,Low
C0068,Male,54,3,Two year,Direct debit,119.67,417.1,Yes,Yes,No,No,0,0.3238205275918109,Medium
C0069,Female,50,27,Month-to-month,Credit card,101.4,2691.43,Yes,Yes,No,No,0,0.428314528810283,Medium
C0070,Female,25,29,Month-to-month,Credit card,81.52,2376.0,Yes,Yes,Yes,No,0,0.29620976848555214,Low
C0071,Female,70,32,Month-to-month,Direct debit,50.63,1668.92,Yes,No,Yes,No,0,0.26297553233129783,Low
C0072,Female,61,50,Month-to-month,Direct debit,82.39,4144.55,No,Yes,Yes,No,0,0.31194702960997844,Medium
C0073,Male,61,58,One year,Credit card,72.7,4226.08,No,No,No,No,0,0.08820820261302713,Low
C0074,Female,22,51,One year,Bank transfer,62.61,3243.16,Yes,Yes,Yes,No,0,0.079529070839257,Low
C0075,Male,56,19,Two year,Direct debit,33.07,493.17,No,Yes,No,No,0,0.1480548524872288,Low
C0076,Female,21,21,Month-to-month,Bank transfer,108.66,2315.75,Yes,Yes,No,No,0,0.47801199071705214,Medium
C0077,Female,23,5,Two year,Credit card,64.98,292.2,Yes,No,No,No,0,0.21940149001764198,Low
C0078,Female,62,18,One year,Direct debit,39.46,618.75,No,Yes,Yes,No,0,0.1240923803389436,Low
C0079,Male,49,28,One year,Bank transfer,56.78,1615.4,No,Yes,Yes,No,0,0.08941741546751682,Low
C0080,Female,69,42,Two year,Direct debit,61.41,2647.9,No,Yes,Yes,No,0,0.14193042298466077,Low
C0081,Male,47,22,One year,Credit card,102.75,2253.63,Yes,Yes,Yes,No,0,0.13320114512454756,Low
C0082,Female,64,21,Month-to-month,Bank transfer,93.36,2008.2,Yes,Yes,No,No,0,0.44798681984831634,Medium
C0083,Male,52,6,Two year,Credit card,96.93,662.19,No,Yes,No,Yes,1,0.24783400024035335,Low
C0084,Female,57,1,Month-to-month,Credit card,21.1,86.85,Yes,Yes,No,No,0,0.33483603058474276,Medium
C0085,Male,69,5,Month-to-month,Direct debit,61.62,390.1,Yes,Yes,No,Yes,1,0.39582568560871007,Medium
C0086,Male,33,41,Two year,Bank transfer,68.13,2830.44,Yes,Yes,Yes,No,0,0.0993071059873636,Low
C0087,Female,30,12,Month-to-month,Credit card,21.92,266.81,Yes,Yes,Yes,Yes,1,0.22535409885991217,Low
C0088,Male,67,26,One year,Credit card,45.98,1115.38,Yes,Yes,Yes,No,0,0.07151626753597953,Low
C0089,Female,59,46,Month-to-month,Bank transfer,96.03,4405.08,Yes,No,No,No,0,0.3813273224981842,Medium
C0090,Female,47,34,Two year,Credit card,33.71,1103.98,No,Yes,No,Yes,1,0.12095601906964733,Low
C0091,Female,36,49,Month-to-month,Credit card,73.53,3711.52,Yes,Yes,No,No,0,0.2851142052844748,Low
C0092,Female,34,14,Two year,Bank transfer,41.52,572.49,Yes,Yes,Yes,No,0,0.13794276720852391,Low
C0093,Female,36,26,One year,Bank transfer,21.21,557.62,Yes,Yes,Yes,No,0,0.07302851740003752,Low
C0094,Female,45,45,Month-to-month,Bank transfer,44.12,2012.97,Yes,Yes,No,No,0,0.23224368501048642,Low
C0095,Female,43,27,One year,Bank transfer,117.59,3177.11,Yes,Yes,Yes,No,0,0.19490984777492765,Low
C0096,Female,54,9,Two year,Direct debit,100.15,986.1,Yes,Yes,No,No,0,0.32860803105202707,Medium
C0097,Female,43,26,Month-to-month,Bank transfer,115.96,2983.83,No,Yes,No,No,0,0.5103177489481258,Medium
C0098,Female,70,57,Month-to-month,Direct debit,68.79,3930.76,Yes,Yes,No,No,0,0.29679696688317403,Low
C0099,Female,40,47,Month-to-month,Direct debit,30.97,1418.47,No,Yes,Yes,Yes,1,0.18031828495894875,Low
C0100,Male,26,57,Month-to-month,Direct debit,74.8,4197.6,Yes,Yes,Yes,No,0,0.20121398629678347,Low
C0101,Male,29,22,One year,Credit card,65.44,1409.09,Yes,No,Yes,No,0,0.08904801365451002,Low
C0102,Female,70,47,One year,Direct debit,104.44,4906.83,Yes,Yes,Yes,No,0,0.16655893828498985,Low
C0103,Female,18,56,Month-to-month,Direct debit,29.81,1647.89,Yes,Yes,Yes,No,0,0.14161364846583546,Low
C0104,Female,18,30,Month-to-month,Credit card,68.82,2029.98,No,Yes,No,No,0,0.33780554691530734,Medium
C0105,Female,64,43,One year,Credit card,35.0,1434.68,Yes,Yes,No,No,0,0.0788666895123001,Low
C0106,Female,51,48,Month-to-month,Credit card,52.47,2514.4,Yes,Yes,Yes,No,0,0.1822182706127712,Low
C0107,Female,49,17,Month-to-month,Bank transfer,93.74,1518.34,No,Yes,Yes,No,0,0.39882796934070563,Medium
C0108,Female,65,26,Two year,Credit card,67.6,1795.6,No,Yes,Yes,No,0,0.15376136337852966,Low
C0109,Female,42,36,One year,Credit card,57.59,2077.36,No,Yes,Yes,No,0,0.09348894634111554,Low
C0110,Male,57,1,One year,Direct debit,59.45,0.0,Yes,Yes,No,No,0,0.18066357961309312,Low
C0111,Female,62,8,Two year,Credit card,65.94,512.06,No,Yes,Yes,No,0,0.18728804665425478,Low
C0112,Male,70,49,Month-to-month,Bank transfer,98.5,4788.89,Yes,Yes,Yes,No,0,0.26663150007850667,Low
C0113,Female,18,35,Two year,Credit card,109.21,3838.31,Yes,Yes,Yes,No,0,0.1921618988946517,Low
C0114,Female,33,52,Month-to-month,Bank transfer,115.53,6074.58,Yes,Yes,No,Yes,1,0.4335895430568487,Medium
C0115,Male,56,15,Month-to-month,Credit card,98.69,1386.59,Yes,Yes,No,No,0,0.3904619416676447,Medium
C0116,Female,22,47,Month-to-month,Credit card,51.54,2428.13,Yes,Yes,Yes,No,0,0.1782269136982809,Low
C0117,Male,39,56,Month-to-month,Credit card,88.81,4965.35,Yes,Yes,No,No,0,0.2594491597659431,Low
C0118,Female,46,22,One year,Credit card,63.76,1436.29,No,Yes,No,No,0,0.15754664744271482,Low
C0119,Female,20,14,Month-to-month,Bank transfer,45.47,647.24,Yes,Yes,No,No,0,0.3386750000199187,Medium
C0120,Male,29,26,Month-to-month,Bank transfer,104.09,2668.74,Yes,Yes,Yes,No,0,0.32270110758417886,Medium
C0121,Female,43,28,Month-to-month,Direct debit,23.84,651.57,Yes,Yes,No,Yes,1,0.2668925232824342,Low
C0122,Male,33,23,Month-to-month,Bank transfer,110.18,2494.34,No,No,No,Yes,1,0.43090588423097353,Medium
C0123,Female,68,14,One year,Credit card,66.15,979.9,Yes,Yes,No,Yes,1,0.17058715396794372,Low
C0124,Male,54,24,Month-to-month,Direct debit,83.72,2010.35,Yes,Yes,No,No,0,0.38030017228074925,Medium
C0125,Male,39,2,One year,Direct debit,85.94,266.94,No,Yes,No,No,0,0.22786853255446363,Low
C0126,Female,46,45,Month-to-month,Direct debit,109.51,4924.92,No,Yes,Yes,No,0,0.4091302004547303,Medium
C0127,Female,31,26,One year,Credit card,83.67,2140.0,Yes,Yes,No,No,0,0.16718582808308133,Low
C0128,Male,45,14,Two year,Bank transfer,81.39,1063.77,Yes,No,No,No,0,0.19879130820267998,Low
C0129,Female,22,59,Month-to-month,Credit card,26.67,1483.37,No,No,No,No,0,0.1456399236343457,Low
C0130,Female,64,56,One year,Direct debit,71.84,3943.83,Yes,Yes,Yes,No,0,0.09826156432807591,Low
C0131,Female,66,51,Month-to-month,Credit card,35.02,1799.38,Yes,No,No,Yes,1,0.18160775622091385,Low
C0132,Male,47,7,Month-to-month,Credit card,93.74,681.62,No,No,No,Yes,1,0.41655640401610716,Medium
C0133,Male,63,3,Two year,Bank transfer,71.22,134.6,Yes,Yes,Yes,No,0,0.1671349458989663,Low
C0134,Male,69,47,Month-to-month,Bank transfer,88.02,4181.69,Yes,Yes,No,No,0,0.30287825282897923,Medium
C0135,Male,22,23,Month-to-month,Direct debit,24.17,531.76,Yes,Yes,No,No,0,0.23394429394945043,Low
C0136,Male,29,46,One year,Credit card,28.48,1317.42,Yes,Yes,No,No,0,0.052675794277907806,Low
C0137,Male,33,43,Month-to-month,Credit card,91.63,4020.7,Yes,Yes,Yes,No,0,0.2412424784186746,Low
C0138,Male,43,47,Two year,Bank transfer,27.21,1323.71,No,Yes,Yes,No,0,0.058078032456393563,Low
C0139,Male,43,60,Month-to-month,Credit card,27.13,1614.37,Yes,No,No,No,0,0.11094369230997427,Low
C0140,Male,65,45,Two year,Credit card,21.21,909.89,Yes,Yes,Yes,No,0,0.048643323844116924,Low
C0141,Female,38,18,One year,Credit card,115.65,1974.11,Yes,Yes,No,Yes,1,0.23797907546556293,Low
C0142,Male,56,58,One year,Bank transfer,93.75,5401.54,Yes,Yes,Yes,No,0,0.09113978537075731,Low
C0143,Female,53,38,Two year,Direct debit,55.33,2091.98,No,No,No,Yes,1,0.17348624364873635,Low
C0144,Female,50,35,Month-to-month,Direct debit,49.65,1688.39,Yes,No,Yes,No,0,0.2447563957690328,Low
C0145,Female,47,51,Two year,Credit card,54.97,2796.91,Yes,Yes,No,No,0,0.11290745742258748,Low
C0146,Male,54,15,Month-to-month,Direct debit,97.47,1465.89,Yes,Yes,Yes,No,0,0.3708380378973119,Medium
C0147,Male,40,25,Month-to-month,Bank transfer,86.14,2142.26,Yes,Yes,Yes,No,0,0.28430017836642063,Low
C0148,Male,27,55,Month-to-month,Bank transfer,38.52,2086.1,Yes,Yes,Yes,No,0,0.11563924044912605,Low
C0149,Male,22,37,Month-to-month,Direct debit,37.41,1392.6,No,Yes,Yes,No,0,0.18108179341960376,Low
C0150,Female,53,28,Month-to-month,Direct debit,29.84,857.62,No,Yes,No,No,0,0.30001349653463394,Medium
C0151,Male,51,10,Two year,Credit card,86.03,805.78,Yes,Yes,No,No,0,0.2052007141967901,Low
C0152,Male,69,39,Two year,Direct debit,96.44,3831.71,Yes,Yes,Yes,No,0,0.16511065686402007,Low
C0153,Male,48,57,Two year,Credit card,46.5,2645.57,No,Yes,No,No,0,0.07820710829925716,Low
C0154,Male,27,17,Month-to-month,Credit card,22.09,376.47,No,Yes,Yes,No,0,0.17996288279851372,Low
C0155,Male,36,39,One year,Bank transfer,28.22,1135.99,Yes,Yes,No,No,0,0.06494441153148509,Low
C0156,Female,49,22,Month-to-month,Bank transfer,116.79,2581.04,Yes,Yes,No,No,0,0.5052247344718306,Medium
C0157,Male,18,26,Month-to-month,Bank transfer,49.54,1335.7,Yes,Yes,No,No,0,0.2530111830096379,Low
C0158,Female,22,44,Month-to-month,Bank transfer,96.92,4278.84,No,Yes,Yes,Yes,1,0.3332723856545836,Medium
C0159,Male,62,25,Month-to-month,Direct debit,82.47,2031.13,No,Yes,No,No,0,0.39311201205888296,Medium
C0160,Female,21,17,One year,Bank transfer,58.19,1007.31,Yes,Yes,Yes,No,0,0.12103122897624233,Low
C0161,Male,33,13,One year,Direct debit,40.57,470.22,Yes,Yes,No,No,0,0.12839005420265912,Low
C0162,Male,41,20,Month-to-month,Bank transfer,32.14,648.23,No,Yes,Yes,No,0,0.2022407641650787,Low
C0163,Female,33,25,Month-to-month,Direct debit,81.5,2035.84,No,Yes,No,No,0,0.4457270988036384,Medium
C0164,Female,19,4,Month-to-month,Credit card,97.46,379.43,No,Yes,No,Yes,1,0.49111759799672927,Medium
C0165,Female,66,10,Month-to-month,Direct debit,84.39,837.47,No,No,No,No,0,0.5065630264421129,Medium
C0166,Male,45,3,Two year,Direct debit,73.03,125.0,Yes,Yes,Yes,Yes,1,0.18627781295190915,Low
C0167,Female,49,41,Month-to-month,Bank transfer,24.2,964.76,Yes,Yes,No,No,0,0.19831591108111993,Low
C0168,Male,44,45,Month-to-month,Direct debit,116.85,5262.89,Yes,No,Yes,No,0,0.3518528689992586,Medium
C0169,Male,37,18,Month-to-month,Credit card,99.87,1805.65,Yes,Yes,No,No,0,0.383794665639587,Medium
C0170,Female,41,47,Two year,Credit card,49.28,2264.78,Yes,Yes,Yes,No,0,0.08423370594652008,Low
C0171,Female,29,36,Two year,Bank transfer,118.0,4311.29,No,Yes,Yes,No,0,0.23880934738154477,Low
C0172,Male,67,47,One year,Credit card,80.19,3725.62,Yes,Yes,No,No,0,0.1054169892853671,Low
C0173,Male,52,22,One year,Direct debit,78.24,1769.75,No,Yes,Yes,No,0,0.13678482123480504,Low
C0174,Female,50,34,Month-to-month,Credit card,94.81,3244.9,Yes,Yes,Yes,Yes,1,0.32435962519062145,Medium
C0175,Female,50,47,Month-to-month,Bank transfer,101.18,4723.15,No,No,Yes,Yes,1,0.342026000842441,Medium
C0176,Female,68,8,Two year,Direct debit,85.65,773.97,Yes,No,Yes,No,0,0.2432415136628722,Low
C0177,Male,60,40,One year,Bank transfer,32.81,1252.72,Yes,Yes,No,No,0,0.06845437623757342,Low
C0178,Male,54,49,One year,Direct debit,53.83,2683.63,Yes,Yes,No,No,0,0.08842834269702826,Low
C0179,Male,29,44,One year,Credit card,112.81,5013.67,Yes,Yes,Yes,No,0,0.12200447052585485,Low
C0180,Male,20,19,One year,Bank transfer,42.46,773.21,No,No,Yes,No,0,0.08441833591277685,Low
C0181,Male,18,42,One year,Bank transfer,57.22,2472.86,No,No,Yes,No,0,0.07049159017475486,Low
C0182,Male,50,41,Two year,Direct debit,63.21,2579.11,Yes,Yes,Yes,Yes,1,0.10698543966815241,Low
C0183,Female,57,37,Two year,Bank transfer,63.94,2380.21,Yes,Yes,No,No,0,0.1643823071721586,Low
C0184,Male,27,6,One year,Direct debit,81.29,500.76,Yes,Yes,No,Yes,1,0.19589777580861098,Low
C0185,Male,60,52,One year,Direct debit,114.31,5937.4,Yes,Yes,Yes,No,0,0.1441344931456454,Low
C0186,Male,61,26,Month-to-month,Direct debit,44.07,1186.36,No,Yes,Yes,No,0,0.23435840382055448,Low
C0187,Female,46,34,One year,Direct debit,32.15,1132.77,No,Yes,Yes,No,0,0.08812406036453423,Low
C0188,Male,30,59,Month-to-month,Credit card,39.75,2257.82,Yes,Yes,No,No,0,0.1331029210619917,Low
C0189,Male,29,56,One year,Direct debit,108.69,6151.86,No,Yes,No,Yes,1,0.17433408307266646,Low
C0190,Female,48,59,Two year,Bank transfer,84.58,4907.1,Yes,Yes,Yes,No,0,0.12434615256425344,Low
C0191,Male,63,45,One year,Credit card,48.59,2238.18,No,No,Yes,No,0,0.05841692240280776,Low
C0192,Male,19,6,Month-to-month,Bank transfer,101.59,665.88,Yes,Yes,No,No,0,0.4344211314838334,Medium
C0193,Male,68,37,Month-to-month,Credit card,106.14,3872.63,No,Yes,No,Yes,1,0.3792514904819441,Medium
C0194,Male,67,57,Month-to-month,Direct debit,104.65,5944.51,No,Yes,Yes,No,0,0.31183649619265347,Medium
C0195,Male,52,33,One year,Credit card,111.89,3637.08,Yes,Yes,Yes,No,0,0.13322469760432368,Low
C0196,Female,40,53,Month-to-month,Credit card,45.22,2385.91,No,Yes,Yes,No,0,0.16402813683885925,Low
C0197,Female,34,22,Month-to-month,Bank transfer,95.5,2085.6,Yes,Yes,No,No,0,0.4411244528862781,Medium
C0198,Female,43,21,Month-to-month,Bank transfer,66.05,1426.03,Yes,Yes,Yes,No,0,0.30342169252721163,Medium
C0199,Male,25,6,One year,Direct debit,104.2,690.72,Yes,Yes,Yes,Yes,1,0.18346287957930424,Low
C0200,Male,46,6,One year,Credit card,92.85,626.88,No,Yes,No,No,0,0.19500490854909858,Low
C0201,Male,43,55,Month-to-month,Credit card,97.64,5342.09,No,Yes,Yes,Yes,1,0.245831556769573,Low
C0202,Female,27,48,Month-to-month,Credit card,85.62,4099.3,No,Yes,No,No,0,0.3362834883225948,Medium
C0203,Male,43,4,Month-to-month,Direct debit,37.74,66.79,No,Yes,Yes,No,0,0.2909566558944127,Low
C0204,Male,51,30,One year,Direct debit,74.5,2194.71,Yes,Yes,Yes,No,0,0.11081201945308652,Low
C0205,Female,68,11,One year,Direct debit,118.47,1351.41,No,Yes,No,Yes,1,0.3250366843937903,Medium
C0206,Male,58,30,Month-to-month,Direct debit,113.74,3492.98,Yes,Yes,Yes,Yes,1,0.3817939150480916,Medium
C0207,Female,24,31,One year,Direct debit,24.32,692.2,Yes,Yes,No,No,0,0.10047030864763525,Low
C0208,Female,21,24,Month-to-month,Bank transfer,36.48,845.9,Yes,Yes,No,Yes,1,0.27911711153354224,Low
C0209,Female,70,55,Two year,Credit card,33.17,1823.03,No,Yes,Yes,No,0,0.06586972228336041,Low
C0210,Male,67,9,Month-to-month,Credit card,92.6,847.41,No,Yes,No,No,0,0.41643145496448736,Medium
C0211,Male,62,55,Month-to-month,Credit card,101.78,5557.42,Yes,Yes,Yes,No,0,0.2468949861284251,Low
C0212,Male,28,3,Month-to-month,Credit card,41.35,145.25,Yes,Yes,No,No,0,0.30156786297638405,Medium
C0213,Male,46,51,One year,Credit card,70.59,3576.4,No,No,Yes,No,0,0.07007084941291633,Low
C0214,Male,53,31,Two year,Credit card,104.07,3225.45,Yes,Yes,No,No,0,0.2003902783526316,Low
C0215,Male,42,40,Month-to-month,Credit card,93.28,3758.51,No,Yes,Yes,No,0,0.26713941079263065,Low
C0216,Male,38,37,One year,Credit card,74.22,2746.46,No,Yes,Yes,No,0,0.08854036932741365,Low
C0217,Female,53,36,One year,Bank transfer,79.03,2823.26,Yes,Yes,No,No,0,0.1561141547793584,Low
C0218,Male,27,24,Month-to-month,Credit card,70.84,1694.68,Yes,Yes,No,No,0,0.292847031902131,Low
C0219,Female,54,31,Month-to-month,Bank transfer,49.75,1537.83,No,Yes,Yes,No,0,0.2504443530574457,Low
C0220,Male,26,6,Two year,Direct debit,76.5,440.5,No,No,Yes,No,0,0.19273424539175138,Low
C0221,Male,41,2,Month-to-month,Credit card,88.89,164.84,Yes,Yes,No,No,0,0.40212445849775325,Medium
C0222,Male,52,20,Month-to-month,Direct debit,107.33,2226.53,No,Yes,No,Yes,1,0.4760635946926119,Medium
C0223,Female,66,28,Two year,Direct debit,83.63,2369.69,Yes,Yes,Yes,No,0,0.19717573290639834,Low
C0224,Female,52,11,Month-to-month,Direct debit,96.11,1042.44,Yes,Yes,Yes,No,0,0.4385410597883538,Medium
C0225,Female,65,4,Month-to-month,Bank transfer,36.01,178.89,No,Yes,Yes,Yes,1,0.3209304655016703,Medium
C0226,Female,53,15,Month-to-month,Direct debit,66.16,975.71,No,Yes,No,No,0,0.4434500805747151,Medium
C0227,Male,35,6,Two year,Direct debit,20.93,184.24,Yes,Yes,Yes,No,0,0.12034217533683256,Low
C0228,Female,66,54,Month-to-month,Direct debit,44.67,2430.66,No,Yes,Yes,No,0,0.1968223423031052,Low
C0229,Male,56,49,Month-to-month,Credit card,92.65,4534.48,Yes,No,No,No,0,0.2883813648773155,Low
C0230,Male,49,30,Month-to-month,Credit card,119.18,3597.79,Yes,No,Yes,Yes,1,0.34032205749206734,Medium
C0231,Female,41,56,Month-to-month,Bank transfer,29.92,1596.98,Yes,Yes,Yes,No,0,0.12794211568703526,Low
C0232,Female,40,38,Month-to-month,Bank transfer,60.15,2229.36,No,Yes,Yes,No,0,0.24996106785068267,Low
C0233,Female,49,51,Month-to-month,Credit card,100.01,5040.81,Yes,No,Yes,No,0,0.2945356915206418,Low
C0234,Female,54,57,One year,Bank transfer,40.4,2309.95,Yes,No,Yes,No,0,0.053832675182651946,Low
C0235,Female,29,2,Month-to-month,Credit card,75.51,237.65,Yes,Yes,No,No,0,0.4356066098847908,Medium
C0236,Female,66,15,Month-to-month,Direct debit,93.31,1511.22,No,Yes,Yes,No,0,0.4467755056219967,Medium
C0237,Female,30,11,Month-to-month,Direct debit,81.6,929.5,Yes,Yes,No,No,0,0.4721662646521813,Medium
C0238,Female,40,8,Month-to-month,Bank transfer,38.8,335.44,No,Yes,No,No,0,0.37081158836597716,Medium
